Optimizer,learning rate,batch size,layer,mlp,cnn
Adam,0.001,32,1,92.675,97.6
Adam,0.001,32,2,94.44,97.905
Adam,0.001,128,1,92.675,96.795
Adam,0.001,128,2,95.635,97.29
SGD,0.001,32,1,81.83,79.97
SGD,0.001,32,2,66.785,44.92
SGD,0.001,128,1,87.305,20.63
SGD,0.001,128,2,42.43,14.905
Adam,0.01,32,1,91.3,97.585
Adam,0.01,32,2,91.46,96.7
Adam,0.01,128,1,91.715,97.395
Adam,0.01,128,2,93.65,97.92
SGD,0.01,32,1,89.36,95.605
SGD,0.01,32,2,91.515,94.76
SGD,0.01,128,1,90.5,89.99
SGD,0.01,128,2,85.155,83.72